Potential applied (V),Time (s),WE(1).Current (A),Scan,Index,Q+,Q-,Current range
0.363616943359375,370.448657064707,1.43096923828125E-06,2,622,0.00013714081607759,-4.20130789279938E-05,100 µA
0.3662109375,370.967456063397,1.42364501953125E-06,2,623,0.00013714081607759,-4.20130789279938E-05,100 µA
0.368804931640625,371.486255062087,1.4166259765625E-06,2,624,0.00013714081607759,-4.20130789279938E-05,100 µA
0.37139892578125,372.005054060778,1.40960693359375E-06,2,625,0.00013714081607759,-4.20130789279938E-05,100 µA
0.373992919921875,372.523853059468,1.402587890625E-06,2,626,0.00013714081607759,-4.20130789279938E-05,100 µA
0.3765869140625,373.042652058158,1.39617919921875E-06,2,627,0.00013714081607759,-4.20130789279938E-05,100 µA
0.379180908203125,373.561451056848,1.3897705078125E-06,2,628,0.00013714081607759,-4.20130789279938E-05,100 µA
0.38177490234375,374.080250055538,1.38336181640625E-06,2,629,0.00013714081607759,-4.20130789279938E-05,100 µA
0.384368896484375,374.599049054228,1.37664794921875E-06,2,630,0.00013714081607759,-4.20130789279938E-05,100 µA
0.386962890625,375.117848052918,1.3702392578125E-06,2,631,0.00013714081607759,-4.20130789279938E-05,100 µA
0.389556884765625,375.636647051609,1.36444091796875E-06,2,632,0.00013714081607759,-4.20130789279938E-05,100 µA
0.39215087890625,376.155446050299,1.3580322265625E-06,2,633,0.00013714081607759,-4.20130789279938E-05,100 µA
0.394744873046875,376.674245048989,1.35223388671875E-06,2,634,0.00013714081607759,-4.20130789279938E-05,100 µA
0.3973388671875,377.193044047679,1.346435546875E-06,2,635,0.00013714081607759,-4.20130789279938E-05,100 µA
0.399932861328125,377.711843046369,1.34124755859375E-06,2,636,0.00013714081607759,-4.20130789279938E-05,100 µA
0.3973388671875,378.230642045059,1.32781982421875E-06,2,637,0.00013714081607759,-4.20130789279938E-05,100 µA
0.394744873046875,378.74944104375,1.31683349609375E-06,2,638,0.00013714081607759,-4.20130789279938E-05,100 µA
0.39215087890625,379.26824004244,1.30615234375E-06,2,639,0.00013714081607759,-4.20130789279938E-05,100 µA
0.389556884765625,379.78703904113,1.29638671875E-06,2,640,0.00013714081607759,-4.20130789279938E-05,100 µA
0.386962890625,380.30583803982,1.28692626953125E-06,2,641,0.00013714081607759,-4.20130789279938E-05,100 µA
0.384368896484375,380.82463703851,1.27777099609375E-06,2,642,0.00013714081607759,-4.20130789279938E-05,100 µA
0.38177490234375,381.3434360372,1.26861572265625E-06,2,643,0.00013714081607759,-4.20130789279938E-05,100 µA
0.379180908203125,381.862235035891,1.259765625E-06,2,644,0.00013714081607759,-4.20130789279938E-05,100 µA
0.3765869140625,382.381034034581,1.25152587890625E-06,2,645,0.00013714081607759,-4.20130789279938E-05,100 µA
0.373992919921875,382.899833033271,1.243896484375E-06,2,646,0.00013714081607759,-4.20130789279938E-05,100 µA
0.37139892578125,383.418632031961,1.2359619140625E-06,2,647,0.00013714081607759,-4.20130789279938E-05,100 µA
0.368804931640625,383.937431030651,1.22802734375E-06,2,648,0.00013714081607759,-4.20130789279938E-05,100 µA
0.3662109375,384.456230029341,1.220703125E-06,2,649,0.00013714081607759,-4.20130789279938E-05,100 µA
0.363616943359375,384.975029028031,1.21368408203125E-06,2,650,0.00013714081607759,-4.20130789279938E-05,100 µA
0.36102294921875,385.493828026722,1.20697021484375E-06,2,651,0.00013714081607759,-4.20130789279938E-05,100 µA
0.358428955078125,386.012627025412,1.1993408203125E-06,2,652,0.00013714081607759,-4.20130789279938E-05,100 µA
0.3558349609375,386.531426024102,1.192626953125E-06,2,653,0.00013714081607759,-4.20130789279938E-05,100 µA
0.353240966796875,387.050225022792,1.18560791015625E-06,2,654,0.00013714081607759,-4.20130789279938E-05,100 µA
0.35064697265625,387.569024021482,1.17889404296875E-06,2,655,0.00013714081607759,-4.20130789279938E-05,100 µA
0.348052978515625,388.087823020172,1.171875E-06,2,656,0.00013714081607759,-4.20130789279938E-05,100 µA
0.345458984375,388.606622018863,1.16546630859375E-06,2,657,0.00013714081607759,-4.20130789279938E-05,100 µA
0.342864990234375,389.125421017553,1.1590576171875E-06,2,658,0.00013714081607759,-4.20130789279938E-05,100 µA
0.34027099609375,389.644220016243,1.15325927734375E-06,2,659,0.00013714081607759,-4.20130789279938E-05,100 µA
0.337677001953125,390.163019014933,1.14715576171875E-06,2,660,0.00013714081607759,-4.20130789279938E-05,100 µA
0.3350830078125,390.681818013623,1.14105224609375E-06,2,661,0.00013714081607759,-4.20130789279938E-05,100 µA
0.332489013671875,391.200617012313,1.13494873046875E-06,2,662,0.00013714081607759,-4.20130789279938E-05,100 µA
0.32989501953125,391.719416011004,1.129150390625E-06,2,663,0.00013714081607759,-4.20130789279938E-05,100 µA
0.327301025390625,392.238215009694,1.12335205078125E-06,2,664,0.00013714081607759,-4.20130789279938E-05,100 µA
0.32470703125,392.757014008384,1.1175537109375E-06,2,665,0.00013714081607759,-4.20130789279938E-05,100 µA
0.322113037109375,393.275813007074,1.1114501953125E-06,2,666,0.00013714081607759,-4.20130789279938E-05,100 µA
0.31951904296875,393.794612005764,1.10565185546875E-06,2,667,0.00013714081607759,-4.20130789279938E-05,100 µA
0.316925048828125,394.313411004454,1.099853515625E-06,2,668,0.00013714081607759,-4.20130789279938E-05,100 µA
0.3143310546875,394.832210003145,1.0931396484375E-06,2,669,0.00013714081607759,-4.20130789279938E-05,100 µA
0.311737060546875,395.351009001835,1.08734130859375E-06,2,670,0.00013714081607759,-4.20130789279938E-05,100 µA
0.30914306640625,395.869808000525,1.08123779296875E-06,2,671,0.00013714081607759,-4.20130789279938E-05,100 µA
0.306549072265625,396.388606999215,1.075439453125E-06,2,672,0.00013714081607759,-4.20130789279938E-05,100 µA
0.303955078125,396.907405997905,1.06903076171875E-06,2,673,0.00013714081607759,-4.20130789279938E-05,100 µA
0.301361083984375,397.426204996595,1.063232421875E-06,2,674,0.00013714081607759,-4.20130789279938E-05,100 µA
0.29876708984375,397.945003995285,1.0565185546875E-06,2,675,0.00013714081607759,-4.20130789279938E-05,100 µA
0.296173095703125,398.463802993976,1.05010986328125E-06,2,676,0.00013714081607759,-4.20130789279938E-05,100 µA
0.2935791015625,398.982601992666,1.04339599609375E-06,2,677,0.00013714081607759,-4.20130789279938E-05,100 µA
0.290985107421875,399.501400991356,1.03607177734375E-06,2,678,0.00013714081607759,-4.20130789279938E-05,100 µA
0.28839111328125,400.020199990046,1.02874755859375E-06,2,679,0.00013714081607759,-4.20130789279938E-05,100 µA
0.285797119140625,400.538998988736,1.021728515625E-06,2,680,0.00013714081607759,-4.20130789279938E-05,100 µA
0.283203125,401.057797987426,1.01409912109375E-06,2,681,0.00013714081607759,-4.20130789279938E-05,100 µA
0.280609130859375,401.576596986117,1.00677490234375E-06,2,682,0.00013714081607759,-4.20130789279938E-05,100 µA
0.27801513671875,402.095395984807,9.979248046875E-07,2,683,0.00013714081607759,-4.20130789279938E-05,100 µA
0.275421142578125,402.614194983497,9.893798828125E-07,2,684,0.00013714081607759,-4.20130789279938E-05,100 µA
0.2728271484375,403.132993982187,9.80224609374999E-07,2,685,0.00013714081607759,-4.20130789279938E-05,100 µA
0.270233154296875,403.651792980877,9.70458984375E-07,2,686,0.00013714081607759,-4.20130789279938E-05,100 µA
0.26763916015625,404.170591979567,9.6038818359375E-07,2,687,0.00013714081607759,-4.20130789279938E-05,100 µA
0.265045166015625,404.689390978258,9.490966796875E-07,2,688,0.00013714081607759,-4.20130789279938E-05,100 µA
0.262451171875,405.208189976948,9.3841552734375E-07,2,689,0.00013714081607759,-4.20130789279938E-05,100 µA
0.259857177734375,405.726988975638,9.2620849609375E-07,2,690,0.00013714081607759,-4.20130789279938E-05,100 µA
0.25726318359375,406.245787974328,9.130859375E-07,2,691,0.00013714081607759,-4.20130789279938E-05,100 µA
0.254669189453125,406.764586973018,8.99353027343749E-07,2,692,0.00013714081607759,-4.20130789279938E-05,100 µA
0.2520751953125,407.283385971708,8.8531494140625E-07,2,693,0.00013714081607759,-4.20130789279938E-05,100 µA
0.249481201171875,407.802184970398,8.7005615234375E-07,2,694,0.00013714081607759,-4.20130789279938E-05,100 µA
0.24688720703125,408.320983969089,8.53271484375E-07,2,695,0.00013714081607759,-4.20130789279938E-05,100 µA
0.244293212890625,408.839782967779,8.3526611328125E-07,2,696,0.00013714081607759,-4.20130789279938E-05,100 µA
0.24169921875,409.358581966469,8.1634521484375E-07,2,697,0.00013714081607759,-4.20130789279938E-05,100 µA
0.239105224609375,409.877380965159,7.9620361328125E-07,2,698,0.00013714081607759,-4.20130789279938E-05,100 µA
0.23651123046875,410.396179963849,7.7484130859375E-07,2,699,0.00013714081607759,-4.20130789279938E-05,100 µA
0.233917236328125,410.914978962539,7.50732421875E-07,2,700,0.00013714081607759,-4.20130789279938E-05,100 µA
0.2313232421875,411.43377796123,7.25708007812501E-07,2,701,0.00013714081607759,-4.20130789279938E-05,100 µA
0.228729248046875,411.95257695992,6.9854736328125E-07,2,702,0.00013714081607759,-4.20130789279938E-05,100 µA
0.22613525390625,412.47137595861,6.6986083984375E-07,2,703,0.00013714081607759,-4.20130789279938E-05,100 µA
0.223541259765625,412.9901749573,6.3934326171875E-07,2,704,0.00013714081607759,-4.20130789279938E-05,100 µA
0.220947265625,413.50897395599,6.060791015625E-07,2,705,0.00013714081607759,-4.20130789279938E-05,100 µA
0.218353271484375,414.02777295468,5.706787109375E-07,2,706,0.00013714081607759,-4.20130789279938E-05,100 µA
0.21575927734375,414.546571953371,5.33447265625001E-07,2,707,0.00013714081607759,-4.20130789279938E-05,100 µA
0.213165283203125,415.065370952061,4.9468994140625E-07,2,708,0.00013714081607759,-4.20130789279938E-05,100 µA
0.2105712890625,415.584169950751,4.52270507812499E-07,2,709,0.00013714081607759,-4.20130789279938E-05,100 µA
0.207977294921875,416.102968949441,4.071044921875E-07,2,710,0.00013714081607759,-4.20130789279938E-05,100 µA
0.20538330078125,416.621767948131,3.6041259765625E-07,2,711,0.00013714081607759,-4.20130789279938E-05,100 µA
0.202789306640625,417.140566946821,3.11279296875E-07,2,712,0.00013714081607759,-4.20130789279938E-05,100 µA
0.2001953125,417.659365945511,2.5970458984375E-07,2,713,0.00013714081607759,-4.20130789279938E-05,100 µA
0.197601318359375,418.178164944202,2.0599365234375E-07,2,714,0.00013714081607759,-4.20130789279938E-05,100 µA
0.19500732421875,418.696963942892,1.50146484374999E-07,2,715,0.00013714081607759,-4.20130789279938E-05,100 µA
0.192413330078125,419.215762941582,9.27734375000003E-08,2,716,0.00013714081607759,-4.20130789279938E-05,100 µA
0.1898193359375,419.734561940272,3.23486328124997E-08,2,717,0.00013714081607759,-4.20130789279938E-05,100 µA
0.187225341796875,420.253360938962,-2.86865234375003E-08,2,718,0.00013714081607759,-4.20130789279938E-05,100 µA
0.18463134765625,420.772159937652,-9.002685546875E-08,2,719,0.00013714081607759,-4.20130789279938E-05,100 µA
0.182037353515625,421.290958936343,-1.5228271484375E-07,2,720,0.00013714081607759,-4.20130789279938E-05,100 µA
0.179443359375,421.809757935033,-2.14233398437499E-07,2,721,0.00013714081607759,-4.20130789279938E-05,100 µA
0.176849365234375,422.328556933723,-2.7740478515625E-07,2,722,0.00013714081607759,-4.20130789279938E-05,100 µA
0.17425537109375,422.847355932413,-3.3843994140625E-07,2,723,0.00013714081607759,-4.20130789279938E-05,100 µA
0.171661376953125,423.366154931103,-3.98864746093749E-07,2,724,0.00013714081607759,-4.20130789279938E-05,100 µA
0.1690673828125,423.884953929793,-4.57763671875E-07,2,725,0.00013714081607759,-4.20130789279938E-05,100 µA
0.166473388671875,424.403752928484,-5.1422119140625E-07,2,726,0.00013714081607759,-4.20130789279938E-05,100 µA
0.16387939453125,424.922551927174,-5.682373046875E-07,2,727,0.00013714081607759,-4.20130789279938E-05,100 µA
0.161285400390625,425.441350925864,-6.195068359375E-07,2,728,0.00013714081607759,-4.20130789279938E-05,100 µA
0.15869140625,425.960149924554,-6.683349609375E-07,2,729,0.00013714081607759,-4.20130789279938E-05,100 µA
0.156097412109375,426.478948923244,-7.1380615234375E-07,2,730,0.00013714081607759,-4.20130789279938E-05,100 µA
0.15350341796875,426.997747921934,-7.55920410156249E-07,2,731,0.00013714081607759,-4.20130789279938E-05,100 µA
0.150909423828125,427.516546920624,-7.94372558593751E-07,2,732,0.00013714081607759,-4.20130789279938E-05,100 µA
0.1483154296875,428.035345919315,-8.28857421875E-07,2,733,0.00013714081607759,-4.20130789279938E-05,100 µA
0.145721435546875,428.554144918005,-8.59375E-07,2,734,0.00013714081607759,-4.20130789279938E-05,100 µA
0.14312744140625,429.072943916695,-8.868408203125E-07,2,735,0.00013714081607759,-4.20130789279938E-05,100 µA
0.140533447265625,429.591742915385,-9.10034179687499E-07,2,736,0.00013714081607759,-4.20130789279938E-05,100 µA
0.137939453125,430.110541914075,-9.295654296875E-07,2,737,0.00013714081607759,-4.20130789279938E-05,100 µA
0.135345458984375,430.629340912765,-9.46044921875E-07,2,738,0.00013714081607759,-4.20130789279938E-05,100 µA
0.13275146484375,431.148139911456,-9.5855712890625E-07,2,739,0.00013714081607759,-4.20130789279938E-05,100 µA
0.130157470703125,431.666938910146,-9.686279296875E-07,2,740,0.00013714081607759,-4.20130789279938E-05,100 µA
0.1275634765625,432.185737908836,-9.75952148437501E-07,2,741,0.00013714081607759,-4.20130789279938E-05,100 µA
0.124969482421875,432.704536907526,-9.7991943359375E-07,2,742,0.00013714081607759,-4.20130789279938E-05,100 µA
0.12237548828125,433.223335906216,-9.814453125E-07,2,743,0.00013714081607759,-4.20130789279938E-05,100 µA
0.119781494140625,433.742134904906,-9.80529785156251E-07,2,744,0.00013714081607759,-4.20130789279938E-05,100 µA
0.1171875,434.260933903597,-9.77783203125E-07,2,745,0.00013714081607759,-4.20130789279938E-05,100 µA
0.114593505859375,434.779732902287,-9.72900390625001E-07,2,746,0.00013714081607759,-4.20130789279938E-05,100 µA
0.11199951171875,435.298531900977,-9.661865234375E-07,2,747,0.00013714081607759,-4.20130789279938E-05,100 µA
0.109405517578125,435.817330899667,-9.5703125E-07,2,748,0.00013714081607759,-4.20130789279938E-05,100 µA
0.1068115234375,436.336129898357,-9.46960449218751E-07,2,749,0.00013714081607759,-4.20130789279938E-05,100 µA
0.104217529296875,436.854928897047,-9.35974121093749E-07,2,750,0.00013714081607759,-4.20130789279938E-05,100 µA
0.10162353515625,437.373727895737,-9.2437744140625E-07,2,751,0.00013714081607759,-4.20130789279938E-05,100 µA
0.099029541015625,437.892526894428,-9.1217041015625E-07,2,752,0.00013714081607759,-4.20130789279938E-05,100 µA
0.096435546875,438.411325893118,-8.990478515625E-07,2,753,0.00013714081607759,-4.20130789279938E-05,100 µA
0.093841552734375,438.930124891808,-8.85009765625E-07,2,754,0.00013714081607759,-4.20130789279938E-05,100 µA
0.09124755859375,439.448923890498,-8.709716796875E-07,2,755,0.00013714081607759,-4.20130789279938E-05,100 µA
0.088653564453125,439.967722889188,-8.5601806640625E-07,2,756,0.00013714081607759,-4.20130789279938E-05,100 µA
0.0860595703125,440.486521887878,-8.4197998046875E-07,2,757,0.00013714081607759,-4.20130789279938E-05,100 µA
0.083465576171875,441.005320886569,-8.270263671875E-07,2,758,0.00013714081607759,-4.20130789279938E-05,100 µA
0.08087158203125,441.524119885259,-8.123779296875E-07,2,759,0.00013714081607759,-4.20130789279938E-05,100 µA
0.078277587890625,442.042918883949,-7.97119140625E-07,2,760,0.00013714081607759,-4.20130789279938E-05,100 µA
0.07568359375,442.561717882639,-7.8277587890625E-07,2,761,0.00013714081607759,-4.20130789279938E-05,100 µA
0.073089599609375,443.080516881329,-7.6751708984375E-07,2,762,0.00013714081607759,-4.20130789279938E-05,100 µA
0.07049560546875,443.599315880019,-7.5286865234375E-07,2,763,0.00013714081607759,-4.20130789279938E-05,100 µA
0.067901611328125,444.11811487871,-7.3822021484375E-07,2,764,0.00013714081607759,-4.20130789279938E-05,100 µA
0.0653076171875,444.6369138774,-7.24182128906251E-07,2,765,0.00013714081607759,-4.20130789279938E-05,100 µA
0.062713623046875,445.15571287609,-7.1075439453125E-07,2,766,0.00013714081607759,-4.20130789279938E-05,100 µA
0.06011962890625,445.67451187478,-6.97021484375E-07,2,767,0.00013714081607759,-4.20130789279938E-05,100 µA
0.057525634765625,446.19331087347,-6.8328857421875E-07,2,768,0.00013714081607759,-4.20130789279938E-05,100 µA
0.054931640625,446.71210987216,-6.6986083984375E-07,2,769,0.00013714081607759,-4.20130789279938E-05,100 µA
0.052337646484375,447.230908870851,-6.5765380859375E-07,2,770,0.00013714081607759,-4.20130789279938E-05,100 µA
0.04974365234375,447.749707869541,-6.451416015625E-07,2,771,0.00013714081607759,-4.20130789279938E-05,100 µA
0.047149658203125,448.268506868231,-6.329345703125E-07,2,772,0.00013714081607759,-4.20130789279938E-05,100 µA
0.0445556640625,448.787305866921,-6.20422363281251E-07,2,773,0.00013714081607759,-4.20130789279938E-05,100 µA
0.041961669921875,449.306104865611,-6.09130859375E-07,2,774,0.00013714081607759,-4.20130789279938E-05,100 µA
0.03936767578125,449.824903864301,-5.97534179687501E-07,2,775,0.00013714081607759,-4.20130789279938E-05,100 µA
0.036773681640625,450.343702862991,-5.86853027343751E-07,2,776,0.00013714081607759,-4.20130789279938E-05,100 µA
0.0341796875,450.862501861682,-5.76171875000001E-07,2,777,0.00013714081607759,-4.20130789279938E-05,100 µA
0.031585693359375,451.381300860372,-5.65185546875E-07,2,778,0.00013714081607759,-4.20130789279938E-05,100 µA
0.02899169921875,451.900099859062,-5.5572509765625E-07,2,779,0.00013714081607759,-4.20130789279938E-05,100 µA
0.026397705078125,452.418898857752,-5.4595947265625E-07,2,780,0.00013714081607759,-4.20130789279938E-05,100 µA
0.0238037109375,452.937697856442,-5.3680419921875E-07,2,781,0.00013714081607759,-4.20130789279938E-05,100 µA
0.021209716796875,453.456496855132,-5.2764892578125E-07,2,782,0.00013714081607759,-4.20130789279938E-05,100 µA
0.01861572265625,453.975295853823,-5.1910400390625E-07,2,783,0.00013714081607759,-4.20130789279938E-05,100 µA
0.016021728515625,454.494094852513,-5.108642578125E-07,2,784,0.00013714081607759,-4.20130789279938E-05,100 µA
0.013427734375,455.012893851203,-5.01708984375E-07,2,785,0.00013714081607759,-4.20130789279938E-05,100 µA
0.010833740234375,455.531692849893,-4.9468994140625E-07,2,786,0.00013714081607759,-4.20130789279938E-05,100 µA
0.00823974609375,456.050491848583,-4.87060546875E-07,2,787,0.00013714081607759,-4.20130789279938E-05,100 µA
0.005645751953125,456.569290847273,-4.79736328125E-07,2,788,0.00013714081607759,-4.20130789279938E-05,100 µA
0.0030517578125,457.088089845964,-4.72412109375001E-07,2,789,0.00013714081607759,-4.20130789279938E-05,100 µA
0.000457763671875,457.606888844654,-4.6539306640625E-07,2,790,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.00213623046875,458.125687843344,-4.58374023437499E-07,2,791,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.004730224609375,458.644486842034,-4.5166015625E-07,2,792,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.00732421875,459.163285840724,-4.4525146484375E-07,2,793,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.009918212890625,459.682084839414,-4.3792724609375E-07,2,794,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.01251220703125,460.200883838104,-4.3304443359375E-07,2,795,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.015106201171875,460.719682836795,-4.2724609375E-07,2,796,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.0177001953125,461.238481835485,-4.21142578125E-07,2,797,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.020294189453125,461.757280834175,-4.15954589843751E-07,2,798,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.02288818359375,462.276079832865,-4.09851074218751E-07,2,799,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.025482177734375,462.794878831555,-4.046630859375E-07,2,800,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.028076171875,463.313677830245,-3.997802734375E-07,2,801,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.030670166015625,463.832476828936,-3.9520263671875E-07,2,802,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.03326416015625,464.351275827626,-3.9031982421875E-07,2,803,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.035858154296875,464.870074826316,-3.857421875E-07,2,804,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.0384521484375,465.388873825006,-3.82080078124999E-07,2,805,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.041046142578125,465.907672823696,-3.77197265625E-07,2,806,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.04364013671875,466.426471822386,-3.7261962890625E-07,2,807,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.046234130859375,466.945270821077,-3.68652343750001E-07,2,808,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.048828125,467.464069819767,-3.64074707031251E-07,2,809,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.051422119140625,467.982868818457,-3.60107421875E-07,2,810,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.05401611328125,468.501667817147,-3.5675048828125E-07,2,811,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.056610107421875,469.020466815837,-3.5247802734375E-07,2,812,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.0592041015625,469.539265814527,-3.48815917968751E-07,2,813,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.061798095703125,470.058064813217,-3.45764160156251E-07,2,814,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.06439208984375,470.576863811908,-3.42407226562499E-07,2,815,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.066986083984375,471.095662810598,-3.3905029296875E-07,2,816,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.069580078125,471.614461809288,-3.35693359375E-07,2,817,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.072174072265625,472.133260807978,-3.33557128906251E-07,2,818,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.07476806640625,472.652059806668,-3.30505371093751E-07,2,819,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.077362060546875,473.170858805358,-3.277587890625E-07,2,820,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.0799560546875,473.689657804049,-3.253173828125E-07,2,821,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.082550048828125,474.208456802739,-3.2318115234375E-07,2,822,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.08514404296875,474.727255801429,-3.204345703125E-07,2,823,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.087738037109375,475.246054800119,-3.1768798828125E-07,2,824,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.09033203125,475.764853798809,-3.15246582031251E-07,2,825,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.092926025390625,476.283652797499,-3.131103515625E-07,2,826,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.09552001953125,476.80245179619,-3.10668945312501E-07,2,827,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.098114013671875,477.32125079488,-3.09143066406251E-07,2,828,0.00013714081607759,-4.20130789279938E-05,100 µA
-0.1007080078125,477.84004979357,-3.07312011718749E-07,2,829,0.00013714081607759,-4.20130789279938E-05,100 µA
