Ewe/V	<I>/mA	time/s	cycle number	(Q-Qo)/C	I Range	Rcmp/Ohm	
-8.8109262E-002	-7.623171268434197E-004	1.623089958997298E+001	1.000000000000000E+000	-2.3214941E-005	14	0.0000000E+000
-8.7636895E-002	-7.582490307398125E-004	1.628089958870987E+001	1.000000000000000E+000	-2.3252860E-005	14	0.0000000E+000
-8.7140106E-002	-7.551259116900487E-004	1.633089958744677E+001	1.000000000000000E+000	-2.3290622E-005	14	0.0000000E+000
-8.6635157E-002	-7.507691410936421E-004	1.638079958618619E+001	1.000000000000000E+000	-2.3328101E-005	14	0.0000000E+000
-8.6079672E-002	-7.473767796769039E-004	1.643069958492561E+001	1.000000000000000E+000	-2.3365412E-005	14	0.0000000E+000
-8.5644454E-002	-7.432395941753592E-004	1.648069958366250E+001	1.000000000000000E+000	-2.3402588E-005	14	0.0000000E+000
-8.5163608E-002	-7.403324994846687E-004	1.653069958239939E+001	1.000000000000000E+000	-2.3439603E-005	14	0.0000000E+000
-8.4627539E-002	-7.359386453411401E-004	1.658049958114134E+001	1.000000000000000E+000	-2.3476274E-005	14	0.0000000E+000
-8.4137134E-002	-7.327946306829565E-004	1.663049957987823E+001	1.000000000000000E+000	-2.3512928E-005	14	0.0000000E+000
-8.3583035E-002	-7.292455821008431E-004	1.668049957861513E+001	1.000000000000000E+000	-2.3549388E-005	14	0.0000000E+000
-8.3142079E-002	-7.256793021866402E-004	1.673039957735455E+001	1.000000000000000E+000	-2.3585624E-005	14	0.0000000E+000
-8.2648911E-002	-7.219617596334223E-004	1.678029957609397E+001	1.000000000000000E+000	-2.3621666E-005	14	0.0000000E+000
-8.2151063E-002	-7.191252443326593E-004	1.683029957483086E+001	1.000000000000000E+000	-2.3657632E-005	14	0.0000000E+000
-8.1648573E-002	-7.154521324576034E-004	1.688019957357028E+001	1.000000000000000E+000	-2.3693336E-005	14	0.0000000E+000
-8.1185102E-002	-7.127196000721540E-004	1.693009957230970E+001	1.000000000000000E+000	-2.3728893E-005	14	0.0000000E+000
-8.0678768E-002	-7.088460451864266E-004	1.698009957104659E+001	1.000000000000000E+000	-2.3764347E-005	14	0.0000000E+000
-8.0135286E-002	-7.058581374890030E-004	1.703009956978349E+001	1.000000000000000E+000	-2.3799654E-005	14	0.0000000E+000
-7.9651304E-002	-7.023615510182799E-004	1.707999956852291E+001	1.000000000000000E+000	-2.3834713E-005	14	0.0000000E+000
-7.9164013E-002	-6.993692076527648E-004	1.712989956726233E+001	1.000000000000000E+000	-2.3869614E-005	14	0.0000000E+000
-7.8595050E-002	-6.962099423661432E-004	1.717989956599922E+001	1.000000000000000E+000	-2.3904411E-005	14	0.0000000E+000
-7.8105219E-002	-6.930991030958964E-004	1.722979956473864E+001	1.000000000000000E+000	-2.3939003E-005	14	0.0000000E+000
-7.7658810E-002	-6.898651786176983E-004	1.727969956347806E+001	1.000000000000000E+000	-2.3973427E-005	14	0.0000000E+000
-7.7197053E-002	-6.870154561972597E-004	1.732969956221496E+001	1.000000000000000E+000	-2.4007762E-005	14	0.0000000E+000
-7.6630220E-002	-6.836142705220986E-004	1.737969956095185E+001	1.000000000000000E+000	-2.4041954E-005	14	0.0000000E+000
-7.6127477E-002	-6.805529071918911E-004	1.742959955969127E+001	1.000000000000000E+000	-2.4075907E-005	14	0.0000000E+000
-7.5633466E-002	-6.773942670476847E-004	1.747949955843069E+001	1.000000000000000E+000	-2.4109711E-005	14	0.0000000E+000
-7.5128198E-002	-6.747277087406417E-004	1.752949955716758E+001	1.000000000000000E+000	-2.4143443E-005	14	0.0000000E+000
-7.4655473E-002	-6.715881831057370E-004	1.757939955590700E+001	1.000000000000000E+000	-2.4176950E-005	14	0.0000000E+000
-7.4139945E-002	-6.688424230600031E-004	1.762929955464642E+001	1.000000000000000E+000	-2.4210316E-005	14	0.0000000E+000
-7.3630430E-002	-6.655468124524963E-004	1.767929955338332E+001	1.000000000000000E+000	-2.4243600E-005	14	0.0000000E+000
-7.3124096E-002	-6.629110876151490E-004	1.772929955212021E+001	1.000000000000000E+000	-2.4276733E-005	14	0.0000000E+000
-7.2627619E-002	-6.595674372941677E-004	1.777919955085963E+001	1.000000000000000E+000	-2.4309651E-005	14	0.0000000E+000
-7.2158135E-002	-6.571630311875800E-004	1.782909954959905E+001	1.000000000000000E+000	-2.4342424E-005	14	0.0000000E+000
-7.1652859E-002	-6.539587032416559E-004	1.787909954833594E+001	1.000000000000000E+000	-2.4375127E-005	14	0.0000000E+000
-7.1151949E-002	-6.513071839071719E-004	1.792899954707536E+001	1.000000000000000E+000	-2.4407616E-005	14	0.0000000E+000
-7.0661426E-002	-6.482297387862680E-004	1.797889954581478E+001	1.000000000000000E+000	-2.4439965E-005	14	0.0000000E+000
